Title,Ratings,Production
Wonder Woman,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '76/100'}]","['DC Films', 'RatPac-Dune Entertainment', 'Tencent Pictures', 'Wanda Pictures', 'Atlas Entertainment', 'Cruel and Unusual Films']"
Jumanji: Welcome to the Jungle,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '58/100'}]","['Columbia Pictures', 'Matt Tolmach Productions', 'Radar Pictures', 'Seven Bucks Productions']"
Guardians of the Galaxy Vol. 2,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",['Marvel Studios']
Spider-Man: Homecoming,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '73/100'}]","['Columbia Pictures', 'Marvel Studios', 'Pascal Pictures']"
It,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '69/100'}]","['New Line Cinema', 'Ratpac-Dune Entertainment', 'Vertigo Entertainment', 'Lin Pictures', 'KatzSmith Productions']"
Thor: Ragnarok,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",['Marvel Studios']
Despicable Me 3,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '49/100'}]","['Universal Pictures', 'Illumination Entertainment']"
Justice League,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '45/100'}]","['Access Entertainment', 'DC Films', 'RatPac-Dune Entertainment', 'Atlas Entertainment', 'Cruel and Unusual Films']"
Logan,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '77/100'}]","['Marvel Entertainment', 'TSG Entertainment', 'Kinberg Genre', 'Hutch Parker Productions', ""The Donners' Company""]"
The Fate of the Furious,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '56/100'}]","['China Film', 'Original Film', 'One Race Films']"
