Title,Ratings,Production
Punisher: War Zone,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '30/100'}]","['Lionsgate', 'Valhalla Motion Pictures', 'MHF Zweite Academy Film', 'SGF Entertainment Inc.']"
Miracle at St. Anna,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '37/100'}]","['Touchstone Pictures','40 Acres and a Mule Filmworks','RAI Cinema','On My Own Produzioni Cinematografiche']"
City of Ember,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '58/100'}]","['Walden Media','Playtone']"
In Bruges,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '67/100'}]","['Blueprint Pictures', 'Film4 Productions', 'Focus Features', 'Scion Films']"
Expelled: No Intelligence Allowed,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '20/100'}]","['Premise Media Corporation','Rampant Films']"
Over Her Dead Body,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",['Gold Circle Films']
Strange Wilderness,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '2%'}, {'Source': 'Metacritic', 'Value': '12/100'}]","['Level 1 Entertainment','Happy Madison Productions']"
Brideshead Revisited,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '64/100'}]","['BBC Films', 'Ecosse Films', 'HanWay Films', 'Screen Yorkshire', 'UK Film Council']"
The Rocker,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '53/100'}]","['21 Laps Entertainment', 'Fox Atomic']"
Tell No One,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '82/100'}]","['Canal+','CinéCinéma']"
RocknRolla,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",['Dark Castle Entertainment']
Shine a Light,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",['Shangri-La Entertainment']
The Counterfeiters,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '78/100'}]","['Aichholzer Film','Magnolia Filmproduktion','Babelsberg Studio']"
Hamlet 2,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '54/100'}]","['L+E Pictures','Bona Fide Productions','ContentFilm International']"
In the Name of the King: A Dungeon Siege Tale,"[{'Source': 'Internet Movie Database', 'Value': '3.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '4%'}, {'Source': 'Metacritic', 'Value': '15/100'}]","['Boll KG Productions / Herold Productions /','Brightlight Pictures']"
Deception,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",['Media Rights Capital']
Flash of Genius,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '57/100'}]","['Spyglass Entertainment','Strike Entertainment']"
Witless Protection,"[{'Source': 'Internet Movie Database', 'Value': '3.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '4%'}, {'Source': 'Metacritic', 'Value': '17/100'}]","['Samwilla','Shaler Entertainment','Parallel Entertainment']"
Charlie Bartlett,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",['SKE']
Then She Found Me,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",['Killer Films']
Elegy,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",['Lakeshore Entertainment']
Happy-Go-Lucky,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '84/100'}]","['Thin Man Films','Summit Entertainment','Ingenious Screen Partners']"
Jodhaa Akbar,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",['A G P P L']
"Synecdoche, New York","[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",['Sidney Kimmel Entertainment']
Man on Wire,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '89/100'}]","['BBC Storyville', 'Discovery Films', 'Red Box Films', 'UK Film Council', 'Wall to Wall']"
Choke,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '47/100'}]","['ATO Pictures', 'Contrafilm', 'Aramid Entertainment Fund', 'Dune Entertainment III', 'Choke Film']"
Frozen River,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '82/100'}]","['Cohen Media Group','Harwood Hunt Productions','Off Hollywood Pictures']"
Ghajini,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",['Geetha Arts']
Redbelt,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",['Sony Pictures Classics']
Waltz with Bashir,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '91/100'}]","['Bridgit Folman Film Gang', ""Les Films d'Ici"", 'Razor Film Produktion']"
The Fall,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '64/100'}]","['Radical Media','Absolute Entertainment']"
Transsiberian,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '72/100'}]","['Castelao Producciones', 'UFA', 'Future Films UK']"
Let the Right One In,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '82/100'}]","['EFTI', 'Filmpool Nord', 'Sveriges Television']"
Rab Ne Bana Di Jodi,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",['Yash Raj Films']
The Wackness,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '61/100'}]","['Occupant Films','SBK Pictures']"
Henry Poole Is Here,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",['Lakeshore Entertainment']
Son of Rambow,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '66/100'}]","['Arte Cinéma', 'Canal+', 'Canal+ España', 'CinéCinéma', 'Motion Investment Group', 'Soficinéma 2', 'Soficinéma 3', 'TPS Star']"
Race,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '56/100'}]","['Forecast Pictures', 'Solofilms', 'Trinica', 'Trinity Race']"
Funny Games,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '44/100'}]","['Celluloid Dreams', 'Tartan Films', 'Film4 Productions']"
Dostana,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}]",['Dharma Productions']
A Christmas Tale,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",['Why Not Productions']
Caramel,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",['Sunnyland Films']
The Children of Huang Shi,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '49/100'}]","['Screen Australia','Ming Productions','Zero West Filmproduktion','Cheerland Entertainment','Bluewater Pictures']"
Before the Rains,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '47/100'}]","['Merchant Ivory Productions','Adirondack Pictures','Excalibur Pictures','Santosh Sivan Productions','Echo Lake Entertainment']"
U Me Aur Hum,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",['Ajay Devgn FFilms']
Spider-Man 3,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '59/100'}]","['Marvel Entertainment', 'Laura Ziskin Productions']"
Shrek the Third,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '58/100'}]","['DreamWorks Animation', 'Pacific Data Images']"
Pirates of the Caribbean: At World's End,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '50/100'}]","['Walt Disney Pictures', 'Jerry Bruckheimer Films']"
Harry Potter and the Order of the Phoenix,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",['Heyday Films']
I Am Legend,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '65/100'}]","['Village Roadshow Pictures', 'Weed Road Pictures', 'Overbrook Entertainment', 'Heyday Films', 'Original Film']"
The Bourne Ultimatum,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '85/100'}]","['MP BETA Productions', 'The Kennedy/Marshall Company', 'Ludlum Entertainment']"
National Treasure: Book of Secrets,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '48/100'}]","['Walt Disney Pictures','Jerry Bruckheimer Films','Junction Entertainment','Saturn Films']"
Alvin and the Chipmunks,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '39/100'}]","['Fox 2000 Pictures', 'Regency Enterprises', 'Bagdasarian Company', 'Dune Entertainment III LLC']"
Ratatouille,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",['Pixar Animation Studios']
The Simpsons Movie,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '80/100'}]","['Gracie Films','']"
Wild Hogs,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '27/100'}]","['Touchstone Pictures','Tollin/Robbins Productions']"
Knocked Up,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",['Apatow Productions']
Juno,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '81/100'}]","['Mandate Pictures', 'Mr. Mudd']"
Rush Hour 3,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '44/100'}]","['Roger Birnbaum Productions', 'Arthur Sarkissian Productions', 'Unlike Film Productions']"
Live Free or Die Hard,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '69/100'}]","['Cheyenne Enterprises', 'Dune Entertainment', 'Ingenious Film Partners']"
American Gangster,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '76/100'}]","['Imagine Entertainment', 'Scott Free Productions', 'Relativity Media']"
Enchanted,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '75/100'}]","['Walt Disney Pictures', 'Sonnenfeld Josephson Entertainment']"
Bee Movie,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '54/100'}]","['DreamWorks Animation','Columbus 81 Productions','']"
Superbad,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",['The Apatow Company']
Hairspray,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '81/100'}]","['Ingenious Media', 'Zadan/Meron Productions']"
Blades of Glory,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '64/100'}]","['DreamWorks Pictures', 'MTV Films', 'Red Hour', 'Smart Entertainment']"
Ocean's Thirteen,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '62/100'}]","['Jerry Weintraub Productions', 'Section Eight Productions', 'Village Roadshow Pictures']"
Ghost Rider,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '35/100'}]","['Crystal Sky Pictures', 'Relativity Media', 'Marvel Entertainment', 'Femme Enceinte Pictures', 'Michael De Luca Productions', 'GH One', 'Vengeance Productions Pty Ltd.']"
Evan Almighty,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '37/100'}]","['Spyglass Entertainment', 'Relativity Media', 'Shady Acres Entertainment', 'Original Film']"
Meet the Robinsons,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '61/100'}]","['Walt Disney Pictures','Walt Disney Animation Studios']"
Norbit,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}, {'Source': 'Metacritic', 'Value': '27/100'}]","['DreamWorks Pictures', 'Davis Entertainment', 'Tollin/Robbins Productions']"
The Bucket List,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '42/100'}]","['Castle Rock Entertainment','(uncredited)']"
The Game Plan,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",['Walt Disney Pictures']
Beowulf,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '59/100'}]","['Shangri-La Entertainment','ImageMovers']"
Bridge to Terabithia,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '74/100'}]","['Walt Disney Pictures','Walden Media','']"
Disturbia,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '62/100'}]","['DreamWorks Pictures', 'Cold Spring Pictures', 'The Montecito Picture Company']"
No Country for Old Men,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '91/100'}]","['Scott Rudin Productions', 'Mike Zoss Productions']"
Fred Claus,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",['Silver Pictures']
The Golden Compass,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '51/100'}]","['New Line Cinema', 'Ingenious Film Partners', 'Scholastic Productions']"
Charlie Wilson's War,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '69/100'}]","['Relativity Media','Participant Productions','Playtone']"
Saw IV,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",['Twisted Pictures']
Stomp the Yard,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",['Rainforest Films']
Surf's Up,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '64/100'}]","['Sony Pictures Animation','']"
TMNT,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",['Imagi Animation Studios']
P.S. I Love You,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Metacritic', 'Value': '39/100'}]","['Alcon Entertainment', 'Grosvenor Park Productions', '2S Films']"
3:10 to Yuma,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '76/100'}]","['Relativity Media','Tree Line Film']"
Atonement,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '85/100'}]","['StudioCanal','Working Title Films']"
Resident Evil: Extinction,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '41/100'}]","['Constantin Film', 'Davis Films', 'Impact Pictures', 'Capcom Co, Ltd.']"
Music and Lyrics,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '59/100'}]","['Castle Rock Entertainment','Village Roadshow Pictures','Reserve Room']"
Are We Done Yet?,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '36/100'}]","['Revolution Studios', 'RKO Pictures', 'Cube Vision']"
This Christmas,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",['Rainforest Films']
Michael Clayton,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '82/100'}]","['Samuels Media', 'Castle Rock Entertainment', 'Mirage Enterprises', 'Section Eight Productions']"
Premonition,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '29/100'}]","['Metro-Goldwyn-Mayer','Hyde Park Entertainment','Offspring Entertainment']"
Dan in Real Life,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '65/100'}]","['Touchstone Pictures','NALA Films']"
The Kingdom,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '56/100'}]","['Relativity Media', 'Forward Pass', 'Stuber/Parent']"
Shooter,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",['di Bonaventura Pictures']
License to Wed,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '7%'}, {'Source': 'Metacritic', 'Value': '25/100'}]","['Village Roadshow Pictures','Phoenix Pictures','Robert Simonds Productions','Underground Films and Management','Proposal Productions']"
Underdog,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '37/100'}]","['Walt Disney Pictures', 'Spyglass Entertainment']"
No Reservations,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '50/100'}]","['Castle Rock Entertainment','Village Roadshow Pictures']"
Because I Said So,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '4%'}, {'Source': 'Metacritic', 'Value': '26/100'}]",['Gold Circle Films']
There Will Be Blood,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '93/100'}]",['Ghoulardi Film Company']
Epic Movie,"[{'Source': 'Internet Movie Database', 'Value': '2.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '2%'}, {'Source': 'Metacritic', 'Value': '17/100'}]","['Regency Enterprises', 'New Regency', 'Paul Schiff Productions', '3 in the Box']"
Hitman,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Metacritic', 'Value': '35/100'}]","['Anka Film', 'Daybreak Productions', 'Dune Entertainment', 'Prime Universe Productions']"
30 Days of Night,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '53/100'}]","['Dark Horse Entertainment', 'Ghost House Pictures']"
Fracture,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '68/100'}]","['Castle Rock', 'Weinstock Entertainment', 'M7 Filmproduktion']"
Stardust,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '66/100'}]","['Marv Films', 'Ingenious Film Partners']"
The Brave One,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '56/100'}]","['Village Roadshow Pictures','Silver Pictures']"
The Heartbreak Kid,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '46/100'}]","['DreamWorks Pictures','Davis Entertainment Company','Conundrum Entertainment','Radar Pictures']"
Freedom Writers,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '64/100'}]","['MTV Films','Jersey Films','2S Films']"
Smokin' Aces,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '45/100'}]","['StudioCanal','Relativity Media','Blinding Edge Pictures','Working Title Films','Scion Films']"
The Messengers,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '34/100'}]","['Columbia Pictures', 'Screen Gems', 'Ghost House Pictures']"
The Number 23,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}]","['Contrafilm', 'Firm Films']"
Good Luck Chuck,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '5%'}, {'Source': 'Metacritic', 'Value': '19/100'}]",['Karz Entertainment']
Mr. Bean's Holiday,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '56/100'}]","['StudioCanal', 'Working Title Films', 'Tiger Aspect Productions']"
Breach,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",['Sidney Kimmel Entertainment']
