ID,Company Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
2007,Crystal Lake Entertainment,5.5/10,28%,34/100,3
2008,Four by Two Films,6.2/10,20%,N/A/100,1
2009,Firm Films,6.0/10,14%,24/100,4
2010,Integrated Films,5.9/10,16%,33/100,1
2011,Madison 23,6.3/10,68%,6/100,1
2012,Tapestry Films,5.7/10,33%,32/100,7
2013,Sid & Marty Krofft Pictures,5.4/10,26%,32/100,1
2014,Curmudgeon Films,7.4/10,49%,5/100,1
2015,The Apatow Company,6.5/10,57%,45/100,4
2016,Ocean Pictures,4.9/10,15%,34/100,1
2017,Ilion Animation Studios,6.0/10,21%,39/100,1
2018,Top Shelf Productions,6.3/10,38%,45/100,1
2019,Liberty Pictures,7.4/10,76%,74/100,1
2020,Andell Entertainment,6.6/10,56%,56/100,2
2021,Bad Boy Films,6.7/10,51%,6/100,1
2022,By Storm Films,6.7/10,51%,6/100,1
2023,Voletta Wallace Films,6.7/10,51%,6/100,1
2024,Robert Simonds Company,5.6/10,12%,36/100,1
2025,Spectacle Entertainment Group,5.5/10,19%,19/100,2
2026,Trancas International Films,4.5/10,16%,22/100,2
2027,Section Eight,6.8/10,62%,63/100,5
2028,Midnight Entertainment,6.6/10,41%,42/100,1
2029,BBC Worldwide,7.3/10,N/A%,9/100,2
2030,Greenlight Media,6.9/10,N/A%,N/A/100,1
2031,Discovery Channel,6.9/10,N/A%,N/A/100,1
2032,BBC Natural History Unit,6.9/10,N/A%,N/A/100,1
2033,Icon Productions,6.6/10,41%,45/100,5
2034,Banter Films,4.8/10,12%,27/100,1
2035,Granada Productions,6.6/10,63%,40/100,3
2036,Parkes/MacDonald Productions,6.6/10,53%,42/100,8
2037,Goldcrest Pictures,6.0/10,36%,48/100,2
2038,Wayans Brothers,3.5/10,18%,4/100,1
2039,Morgan Creek Entertainment,5.9/10,19%,34/100,1
2040,Dead Crow Productions,5.9/10,19%,34/100,1
2041,Imagi Animation Studios,6.3/10,42%,28/100,2
2042,Jonas Films,2.0/10,24%,45/100,1
2043,Internationale Filmproduktion Blackbird Erste,6.0/10,38%,N/A/100,1
2044,Grosvenor Park Media,6.9/10,67%,72/100,2
2045,Film Capital Europe Funds,7.6/10,97%,94/100,1
2046,Epidemic Pictures,5.6/10,29%,29/100,1
2047,Edmonds Entertainment,5.6/10,29%,29/100,1
2048,Fox Atomic,5.6/10,30%,41/100,7
2049,Internationale Filmproduktion Stella-del-Sud III GmbH Ko.,5.6/10,40%,54/100,1
2050,Kevin Messick Productions,5.8/10,27%,39/100,1
2051,The Bridge Studios,5.3/10,14%,32/100,1
2052,Avalon Pictures,5.8/10,21%,37/100,1
2053,AE Electra Productions,5.8/10,21%,37/100,1
2054,@radical.media,6.5/10,57%,40/100,3
2055,Vincent Pictures,6.9/10,84%,68/100,1
2056,Rye Road Productions,6.9/10,84%,68/100,1
2057,Babe Ruthless Productions,6.9/10,84%,68/100,1
2058,Barry Mendel Productions,7.1/10,76%,65/100,2
2059,House Row Productions,5.0/10,23%,24/100,1
2060,Ternion Entertainment,6.2/10,62%,6/100,1
2061,A-Mark Entertainment,5.8/10,21%,46/100,1
2062,Melee Entertainment,5.8/10,21%,46/100,1
2063,Next Day Air Productions,5.8/10,21%,46/100,1
2064,Secret Society Films,5.8/10,21%,46/100,1
2065,Neal Street Productions,7.2/10,66%,51/100,5
2066,Star Overseas,5.2/10,52%,62/100,2
2067,Hollywood Gang,7.0/10,46%,47/100,1
2068,Capcom,3.7/10,6%,7/100,1
2069,Legend Films,3.7/10,6%,7/100,1
2070,Adlabs Films,3.7/10,6%,7/100,1
2071,26 Films,5.9/10,9%,34/100,1
2072,2929 Productions,6.4/10,58%,49/100,5
2073,Neo Art & Logic,5.7/10,30%,28/100,2
2074,Imaginarium Entertainment Group,6.4/10,30%,29/100,1
2075,Grosvenor Park,4.6/10,38%,42/100,3
2076,Haut et Court,6.7/10,63%,65/100,1
2077,Ciné@,6.7/10,63%,65/100,1
2078,Liberty Films,7.9/10,89%,67/100,1
2079,Xingu Films,7.9/10,89%,67/100,1
2080,Limelight,7.9/10,89%,67/100,1
2081,New South Wales Film and Television Office,7.2/10,86%,46/100,2
2082,Dogwoof Pictures,7.8/10,95%,8/100,1
2083,Chris Rock Productions,6.1/10,62%,38/100,2
2084,Ealing Studios,6.5/10,54%,57/100,2
2085,Odyssey Entertainment,5.8/10,30%,44/100,4
2086,Primary Productions,7.6/10,88%,77/100,1
2087,Creando Films,7.6/10,88%,77/100,1
2088,Aramid Entertainment,7.5/10,94%,83/100,1
2089,X Filme,7.8/10,85%,82/100,1
2090,Producciones Anhelo,6.7/10,73%,67/100,1
2091,Snoot toons,6.6/10,48%,54/100,1
2092,Steel Curtain Pictures,7.6/10,79%,7/100,1
2093,Palm Pictures,6.3/10,37%,49/100,1
2094,Plum Pictures,6.3/10,37%,49/100,1
2095,Amuse Soft Entertainment,8.0/10,79%,68/100,1
2096,Asahi Shimbun,8.0/10,79%,68/100,1
2097,Mainichi Broadcasting System,8.0/10,79%,68/100,1
2098,Sedic,8.0/10,79%,68/100,1
2099,Shochiku,8.0/10,79%,68/100,1
2100,ShoPro,8.0/10,79%,68/100,1
2101,TBS Radio & Communications,8.0/10,79%,68/100,1
2102,Tokyo Broadcasting System,8.0/10,79%,68/100,1
2103,Five & Two Pictures,7.0/10,N/A%,N/A/100,1
2104,CinemaNX,6.8/10,86%,73/100,1
2105,Hart/Lunsford Pictures,6.8/10,86%,73/100,1
2106,Blue Light,6.4/10,41%,49/100,1
2107,Celador Films,7.5/10,90%,57/100,3
2108,Valhalla Motion Pictures,5.9/10,46%,17/100,4
2109,Kickstart Productions,6.7/10,71%,64/100,1
2110,Top Cow Productions,6.7/10,71%,64/100,1
2111,Birnbaum/Barber Productions,6.1/10,52%,40/100,2
