ID,Company Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
2811,The Film Council,7.0/10,86%,38/100,2
2812,FilmFörderung Hamburg,6.7/10,85%,66/100,1
2813,Future Film Financing,6.7/10,85%,66/100,1
2814,Helkon SK,6.7/10,85%,66/100,1
2815,Road Movies Filmproduktion GmbH,6.7/10,85%,66/100,1
2816,Roc Media,6.7/10,85%,66/100,1
2817,The Works International,6.7/10,85%,66/100,1
2818,NuAmerica Entertainment,5.3/10,21%,37/100,1
2819,Dakota Pictures,3.4/10,10%,9/100,1
2820,Lion Rock Productions,5.8/10,28%,4/100,2
2821,DisneyToon Studios Japan,6.0/10,71%,62/100,1
2822,"Toon City Animation, Inc., Manila, Philippines",6.0/10,71%,62/100,1
2823,"Gullwing Animation Co., Ltd.",6.0/10,71%,62/100,1
2824,Studio Fuga,6.0/10,71%,62/100,1
2825,T2 Studio,6.0/10,71%,62/100,1
2826,Emperor Multimedia Group,5.2/10,18%,38/100,1
2827,Red Mullet,4.9/10,12%,37/100,1
2828,Cold Creek Manor Productions,4.9/10,12%,37/100,1
2829,Black Sky Entertainment,5.6/10,63%,56/100,1
2830,Baltimore Spring Creek Productions,5.7/10,56%,64/100,1
2831,Lonely Film Productions GmbH & Co. KG.,5.7/10,56%,64/100,1
2832,Warner Bros. Feature Animation,6.0/10,56%,60/100,2
2833,South Pacific Pictures,7.6/10,91%,8/100,1
2834,ApolloMedia,7.6/10,91%,8/100,1
2835,Pandora Films,7.6/10,91%,8/100,1
2836,New Zealand Film Production Fund,7.6/10,91%,8/100,1
2837,NZ On Air,7.6/10,91%,8/100,1
2838,Dirty Hands,7.6/10,19%,3/100,1
2839,John Jacobs Productions,4.7/10,8%,N/A/100,1
2840,David Ladd Films,5.6/10,24%,27/100,1
2841,Hell's Kitchen Films,7.8/10,89%,76/100,1
2842,East of Harlem (UK) Ltd.,7.8/10,89%,76/100,1
2843,Bisgrove Entertainment,7.6/10,74%,7/100,1
2844,Cobalt Media Group,6.3/10,44%,18/100,2
2845,Ted Turner Pictures,6.3/10,8%,3/100,1
2846,Pierce-Williams Entertainment,7.0/10,77%,69/100,1
2847,Dog Pond Films,7.0/10,77%,69/100,1
2848,Gryphon Films,7.0/10,77%,69/100,1
2849,VisionBox,7.0/10,77%,69/100,1
2850,Amaru Entertainment,8.0/10,78%,66/100,1
2851,O2 Filmes,8.6/10,91%,79/100,1
2852,VideoFilmes,8.6/10,91%,79/100,1
2853,Les Armateurs,7.8/10,N/A%,9/100,1
2854,Production Champion,7.8/10,N/A%,9/100,1
2855,Vivi Film,7.8/10,N/A%,9/100,1
2856,RGP Productions,7.8/10,N/A%,9/100,1
2857,With the participation of,7.8/10,N/A%,9/100,1
2858,:,7.8/10,N/A%,9/100,3
2859,", Sofica Gimages 3, Cofimage 12,",7.8/10,N/A%,9/100,1
2860,",",7.5/10,22%,19/100,6
2861,SODEC,7.8/10,N/A%,9/100,1
2862,Charente,7.8/10,N/A%,9/100,1
2863,", Région",7.8/10,N/A%,9/100,1
2864,Poitou-Charentes,7.8/10,N/A%,9/100,1
2865,With the support of,7.8/10,N/A%,9/100,1
2866,", Fonds Film in",7.8/10,N/A%,9/100,1
2867,Vlaanderen,7.8/10,N/A%,9/100,1
2868,Nationale Loterij of Belgium,7.8/10,N/A%,9/100,1
2869,In association with,7.8/10,N/A%,9/100,1
2870,BBC Bristol,7.8/10,N/A%,9/100,1
2871,Spirit Dance Entertainment,4.8/10,14%,33/100,1
2872,City Light Films,2.4/10,N/A%,8/100,1
2873,SenArt Films,7.7/10,95%,8/100,1
2874,Next Wednesday,7.7/10,95%,8/100,1
2875,19 Entertainment,2.0/10,10%,4/100,1
2876,Momentum Pictures,7.8/10,91%,83/100,1
2877,Temple Films,7.8/10,91%,83/100,1
2878,PFP Films,7.8/10,91%,83/100,1
2879,Bunim/Murray Productions,2.7/10,35%,34/100,1
2880,Cinémaginaire,6.7/10,33%,4/100,1
2881,Via Digital,7.0/10,64%,64/100,1
2882,Baumgarten Merims Productions,7.2/10,91%,73/100,1
2883,Forest Park Pictures,7.2/10,91%,73/100,1
2884,Mormon Movies,3.2/10,17%,N/A/100,1
2885,Meno Film Company,7.2/10,73%,7/100,1
2886,Silver Sphere Corporation,7.0/10,79%,57/100,1
2887,Flirt Pictures,6.6/10,33%,43/100,1
2888,Bones,7.9/10,65%,6/100,1
2889,MIRACLE Productions GmbH & Co. KG,7.4/10,82%,63/100,1
2890,MPH Entertainment,6.6/10,76%,62/100,1
2891,Gratitude International,6.2/10,54%,62/100,1
2892,Moving Pictures,6.2/10,54%,62/100,1
2893,Producer Circle Co.,7.2/10,85%,82/100,1
2894,Blue Tulip Productions,7.6/10,64%,20/100,2
2895,MFP Munich Film Partners,6.4/10,59%,45/100,1
2896,S.O.A.F. Productions,6.4/10,59%,45/100,1
2897,Hofflund/Polone,6.8/10,75%,65/100,1
2898,Hughes Entertainment,5.0/10,39%,45/100,1
2899,Imagine Corporation,7.2/10,68%,6/100,1
2900,WWF Entertainment,5.5/10,41%,45/100,1
2901,Kerner Entertainment,5.0/10,24%,29/100,1
2902,Wheelhouse Entertainment,7.2/10,63%,65/100,1
2903,Alberto Grimaldi Productions,7.5/10,75%,72/100,1
2904,Witt/Thomas Productions,7.2/10,92%,78/100,1
2905,Franklin/Waterman Productions,5.4/10,81%,66/100,1
2906,NBA Entertainment,5.2/10,57%,47/100,1
2907,Heller Highwater,5.2/10,57%,47/100,1
2908,Blue Train Productions,5.3/10,22%,3/100,1
2909,DreamWorks SKG,5.3/10,22%,3/100,1
2910,Vanguard Films,5.3/10,22%,3/100,1
2911,Pandora Cinema,7.4/10,27%,35/100,1
2912,New Legacy Films,6.7/10,34%,33/100,1
2913,Bel-Air Entertainment,5.8/10,30%,39/100,2
2914,Zomba Films,3.4/10,14%,27/100,1
2915,Shondaland,3.4/10,14%,27/100,1
2916,National Geographic Society,6.7/10,60%,58/100,1
2917,Tall Trees Productions,5.4/10,57%,35/100,1
2918,Sheldon Leonard Productions,5.4/10,57%,35/100,1
2919,Studio Canal+,8.5/10,95%,85/100,1
2920,Catch 23 Entertainment,6.8/10,N/A%,64/100,1
2921,Nightfall Productions,4.0/10,12%,9/100,1
2922,Material Productions,5.3/10,17%,3/100,1
2923,Buena Vista Pictures,6.0/10,7%,25/100,1
2924,Kalima Productions GmbH & Co. KG,6.0/10,7%,25/100,1
2925,NDE Productions,6.0/10,7%,25/100,1
2926,Stillking Productions,5.6/10,10%,37/100,1
2927,Furthur Films,5.0/10,14%,29/100,1
2928,The Best Picture Show Company,5.4/10,53%,5/100,1
2929,Cube Vision Productions,5.8/10,30%,34/100,1
2930,Ventanarosa,7.4/10,75%,6/100,1
2931,Big Idea Productions,6.6/10,66%,58/100,1
2932,F.H.E. Pictures,6.6/10,66%,58/100,1
2933,Propaganda Films,6.5/10,64%,61/100,5
2934,Salter Street Films,8.0/10,95%,72/100,1
2935,Mundy Lane Entertainment,7.3/10,79%,62/100,1
2936,Scholastic Studios,6.7/10,61%,66/100,1
2937,Helkon Media KG,3.0/10,3%,4/100,1
2938,Yorktown Productions,3.0/10,3%,4/100,1
2939,Arenas Entertainment,6.0/10,21%,38/100,1
2940,Pandora/Gaylord Films,7.2/10,69%,6/100,1
2941,Umbrella Entertainment,7.2/10,69%,6/100,1
2942,Consolidated Film Industries,7.4/10,87%,84/100,1
2943,TF1 Cinema,7.4/10,87%,84/100,1
2944,Aei Entertainment,5.8/10,28%,3/100,1
2945,Flan de Coco Films,6.5/10,N/A%,7/100,1
2946,Delhi Dot Com,7.4/10,95%,77/100,1
2947,"Snee-Oosh, Inc.",5.9/10,29%,47/100,1
2948,Nickelodeon Animation Studios,5.9/10,29%,47/100,1
2949,Friday X Productions,4.4/10,19%,25/100,1
2950,American Entertainment Co.,7.3/10,73%,64/100,1
2951,Cinerenta Medienbeteiligungs KG,7.2/10,74%,62/100,2
2952,Cinedelta,7.3/10,73%,64/100,1
2953,25th Hour Productions,7.7/10,78%,67/100,1
2954,Gamut Films,7.7/10,78%,67/100,1
2955,Motion Picture Corporation of America,6.2/10,48%,58/100,1
2956,Cartoon Network Studios,6.5/10,63%,65/100,1
2957,Davis-Films,7.0/10,73%,57/100,1
2958,Eskwad,7.0/10,73%,57/100,1
2959,Tiara Blu Films,7.2/10,83%,7/100,1
2960,Senator Film,6.4/10,42%,38/100,1
2961,The Jacobson Company,6.5/10,48%,47/100,1
2962,Sonnenfeld/Josephson Worldwide Entertainment,6.5/10,48%,47/100,1
2963,Mandolin Entertainment,6.2/10,18%,42/100,1
2964,Quinta Communications,6.3/10,48%,59/100,1
2965,Roger Avary Filmproduktion,6.7/10,43%,5/100,1
2966,Rumbalara Films,7.5/10,87%,8/100,1
2967,Olsen Levy,7.5/10,87%,8/100,1
2968,CineWild,5.6/10,3%,6/100,1
2969,Eternity Pictures,6.4/10,40%,41/100,2
2970,The Antonia Company,5.6/10,3%,6/100,1
2971,LaVoo Productions,7.0/10,84%,7/100,1
2972,Almeda Films,6.8/10,61%,6/100,1
2973,Blu Films,6.8/10,61%,6/100,1
2974,Wanda Films,6.8/10,61%,6/100,1
2975,Mediastrem Film,4.8/10,34%,55/100,1
2976,Clinica Estetico Productions,4.8/10,34%,55/100,1
2977,HAL Films,6.0/10,58%,5/100,1
2978,Atlantic Streamline,7.0/10,75%,72/100,1
2979,Bavaria Film,7.3/10,92%,72/100,1
2980,Twopoundbag Productions,7.0/10,77%,63/100,1
2981,Double A Films,7.0/10,77%,63/100,1
2982,SloughPond Co.,7.0/10,77%,63/100,1
2983,Dan Films,6.4/10,74%,63/100,1
2984,CP Medien,6.4/10,74%,63/100,1
2985,Roc-A-Fella Films,7.0/10,52%,49/100,1
2986,Loud Films,7.0/10,52%,49/100,1
2987,Seville Pictures,7.4/10,89%,86/100,1
2988,Egg Pictures,7.0/10,N/A%,69/100,1
2989,Catherine Bailey Ltd.,6.8/10,85%,83/100,1
2990,Metropolitan Films,6.8/10,85%,83/100,1
2991,Redbus Pictures,6.8/10,85%,83/100,1
2992,Studio Canal,7.2/10,71%,65/100,1
2993,Hart-Sharp Entertainment,7.2/10,78%,7/100,1
2994,SEDIF,7.4/10,97%,82/100,1
2995,Ciné B,7.4/10,97%,82/100,1
2996,Pathé Image,7.4/10,97%,82/100,1
2997,(participation),7.4/10,97%,82/100,1
2998,(aid),7.4/10,97%,82/100,1
2999,Epiphany Films LLC,6.8/10,22%,38/100,1
3000,Feelmax,6.8/10,22%,38/100,1
3001,Fireworks Pictures,6.5/10,44%,52/100,3
3002,Shoreline Entertainment,6.6/10,42%,44/100,2
3003,Holedigger Films,7.0/10,88%,75/100,1
3004,The Film Consortium,7.4/10,N/A%,85/100,1
3005,Katharina,6.6/10,66%,57/100,1
3006,Renn Productions,6.6/10,66%,57/100,1
3007,"White Feather Films,",6.6/10,83%,4/100,1
3008,PNC Films,6.6/10,83%,4/100,1
3009,Bavaria Film International,7.5/10,72%,79/100,1
3010,Filmfonds Wien,7.5/10,72%,79/100,1
3011,Les Films Alain Sarde,7.8/10,78%,81/100,2
3012,Österreichischer Rundfunk,7.5/10,72%,79/100,1
3013,BrownHouse Productions,6.3/10,47%,52/100,1
3014,Las Producciones del Escorpion,7.6/10,83%,74/100,1
3015,Roth-Arnold Productions,5.7/10,32%,44/100,1
3016,Shoelace Productions,5.7/10,32%,44/100,1
3017,O Entertainment,6.0/10,75%,65/100,1
3018,Stanley Kubrick Productions,7.0/10,73%,65/100,1
3019,Phase 1 Productions,6.3/10,31%,42/100,1
3020,Little Bird,6.7/10,80%,66/100,1
3021,Gold/Miller Productions,5.8/10,34%,38/100,2
3022,Further Films,6.3/10,24%,38/100,1
3023,Repérage Films,7.6/10,54%,53/100,1
3024,VH1 Films,6.6/10,64%,6/100,1
3025,Empire Pictures,6.5/10,64%,6/100,1
3026,Sandcastle 5 Productions,7.3/10,86%,9/100,1
3027,Chicagofilms,7.3/10,86%,9/100,1
3028,Winchester Films,6.2/10,53%,47/100,1
3029,Nides/McCormick Productions,6.4/10,39%,48/100,1
3030,Walt Disney Television Animation,6.4/10,62%,48/100,2
3031,Walt Disney Television Animation Digital Production,6.6/10,61%,43/100,1
3032,"Sunwoo Animation
Sunwoo Digital International",6.6/10,61%,43/100,1
3033,Eastern Standard Film Company,7.4/10,93%,86/100,1
3034,"The Firm, Inc.",4.8/10,14%,32/100,1
3035,UGC,N/A/10,N/A%,N/A/100,1
3036,UGC Fox Distribution,N/A/10,N/A%,N/A/100,1
3037,Champs Productions,4.5/10,14%,29/100,1
3038,Turman-Morrisey Company,5.5/10,10%,37/100,1
3039,Square Pictures,6.4/10,45%,49/100,1
3040,Native Pictures,6.3/10,26%,29/100,1
3041,MDP Worldwide,4.7/10,11%,27/100,1
3042,Crystal Sky Worldwide,4.7/10,11%,27/100,1
3043,Silver Lion Films,4.8/10,11%,37/100,1
3044,Bel Air Entertainment,6.4/10,30%,22/100,5
3045,New Redemption Pictures,6.0/10,33%,34/100,1
3046,The Canton Company,5.6/10,N/A%,39/100,1
3047,Atchity Entertainment International,5.5/10,40%,42/100,1
3048,Clyde Is Hungry Films,6.8/10,78%,7/100,1
3049,Maysville,6.2/10,N/A%,54/100,1
3050,Ulfland Productions,6.5/10,63%,6/100,1
3051,Daniel Fried Productions,6.2/10,64%,53/100,1
3052,Chickie the Cop,6.2/10,64%,53/100,1
3053,Golden Harvest,7.6/10,86%,76/100,2
3054,Long Shong Pictures,7.6/10,90%,79/100,1
3055,Paragon Films,7.6/10,86%,76/100,2
3056,Film Workshop,7.6/10,90%,79/100,1
3057,Riverdale Productions,5.4/10,52%,47/100,1
3058,Merlin Films,6.0/10,77%,66/100,1
3059,Eagle Cove Entertainment,5.3/10,14%,5/100,1
3060,Ignite Entertainment,6.2/10,40%,46/100,2
3061,Morpheus,5.8/10,44%,52/100,1
3062,Lithium Entertainment Group,4.7/10,8%,8/100,1
3063,VCL,6.8/10,45%,52/100,1
3064,Asymmetrical Productions,8.0/10,83%,83/100,1
3065,Babbo Inc.,8.0/10,83%,83/100,1
3066,The Picture Factory,8.0/10,83%,83/100,1
3067,Kanzaman S.A.,7.3/10,86%,79/100,1
3068,Jeremy Thomas Productions,7.3/10,86%,79/100,1
3069,"Charles B. Pierce Film Productions, Inc.",5.6/10,70%,47/100,1
3070,October Films,6.0/10,40%,52/100,2
3071,As a Furthur Films,6.0/10,33%,46/100,1
3072,Advanced Medien,7.4/10,92%,88/100,1
3073,Granada Film,7.4/10,92%,88/100,1
3074,Jersey Shore,7.4/10,92%,88/100,1
3075,Fox Iris Productions,7.0/10,79%,76/100,1
3076,Zeta Entertainment,8.0/10,92%,83/100,1
3077,Alta Vista Films,8.0/10,92%,83/100,1
3078,3Mark Entertainment,6.5/10,29%,38/100,1
3079,Molen/Garbett Productions,6.5/10,29%,38/100,1
3080,Australian Film Finance Corporation,7.3/10,90%,84/100,1
3081,MBP,7.3/10,90%,84/100,1
3082,Jan Chapman Films,7.3/10,90%,84/100,1
3083,Starz Encore Entertainment,6.6/10,74%,58/100,1
3084,A Happy Place,4.0/10,19%,34/100,1
3085,Pas de Quoi,6.3/10,61%,56/100,1
3086,HBO Downtown Productions,5.2/10,29%,3/100,1
3087,TF1 International,6.0/10,53%,62/100,1
3088,Noujaim Films,7.0/10,92%,75/100,1
3089,Alter Ego Entertainment,7.2/10,83%,73/100,1
3090,Belladonna Productions,7.2/10,83%,73/100,1
3091,Redeemable Features,5.9/10,35%,44/100,1
3092,Clear Blue Sky Productions,6.9/10,58%,64/100,1
3093,Fabrica,8.0/10,93%,84/100,1
3094,Man's Films,8.0/10,93%,84/100,1
3095,Studio Maj,8.0/10,93%,84/100,1
3096,Icon Entertainment,6.4/10,54%,47/100,1
3097,Baltimore Pictures,6.4/10,N/A%,59/100,1
3098,Nancy Tenenbaum Productions,7.0/10,84%,73/100,1
3099,The Secret Lab,6.5/10,65%,56/100,1
3100,Columbia Pictures Film Production Asia,7.9/10,97%,93/100,1
3101,Good Machine International,7.9/10,97%,93/100,1
3102,Zoom Hunt Productions,7.9/10,97%,93/100,1
3103,China Film Co-Production Corp.,7.9/10,97%,93/100,1
3104,Asian Union Film & Entertainment Ltd.,7.9/10,97%,93/100,1
3105,Laura Bickford Productions,7.6/10,92%,86/100,1
3106,Friendly Productions,5.0/10,30%,33/100,1
3107,Taurus Films,5.0/10,30%,33/100,1
3108,Technical Black Films,7.8/10,73%,48/100,1
3109,Limited Edition Productions Inc.,7.2/10,69%,62/100,1
3110,Craven-Maddalena Films,5.5/10,36%,56/100,1
3111,Canal+ Image,6.6/10,68%,62/100,1
3112,Seven Arts Pictures,6.4/10,36%,45/100,1
3113,RadicalMedia,6.3/10,46%,4/100,1
3114,Rational Packaging,6.7/10,45%,47/100,1
3115,Lansdown Films,6.7/10,45%,47/100,1
3116,Disney MovieToons,6.3/10,62%,53/100,1
3117,The Robert Simonds Company,5.3/10,22%,38/100,1
3118,PolyGram Filmed Entertainment,6.7/10,52%,49/100,2
3119,Interscope Communications,7.0/10,57%,49/100,1
3120,Latham Entertainment,6.7/10,86%,76/100,1
3121,Kirch Media,6.0/10,49%,49/100,1
3122,Tall Tree Productions,6.0/10,31%,46/100,1
3123,Koch Co.,6.4/10,69%,6/100,1
3124,Norton/Blumberg Productions,6.4/10,69%,6/100,1
3125,Triple Threat Talent,6.4/10,69%,6/100,1
3126,Hanna-Barbera Productions,3.6/10,25%,27/100,1
3127,MDS Productions LLC,7.0/10,73%,6/100,1
3128,Kiah rainwater studios,6.8/10,35%,3/100,1
3129,Allied Filmmakers,6.7/10,43%,47/100,1
3130,SKA Films,8.3/10,73%,55/100,1
3131,Amen-Ra Films,5.7/10,16%,3/100,1
3132,Dogstar Films,7.5/10,91%,79/100,1
3133,Haxan Films,4.0/10,14%,5/100,1
3134,Jay Ward Productions,4.2/10,43%,36/100,1
3135,Pacifica Film,6.2/10,83%,69/100,1
3136,Fox Animation Studios,6.6/10,51%,48/100,1
3137,Tiger Aspect Pictures,7.7/10,85%,74/100,1
3138,Curtis Hanson Productions,7.4/10,81%,73/100,1
3139,Marubeni,7.4/10,81%,73/100,1
3140,MFF Feature Film Productions,7.4/10,81%,73/100,1
3141,Tele München Fernseh Produktionsgesellschaft,7.4/10,81%,73/100,1
3142,Cinecontender,7.0/10,76%,59/100,1
3143,Battleground Productions,7.0/10,76%,59/100,1
3144,SE8 Group,7.0/10,76%,59/100,1
3145,Sweetland Films,6.7/10,66%,69/100,1
3146,Prufrock Pictures,4.8/10,7%,6/100,1
3147,Behaviour Communications,4.9/10,9%,29/100,1
3148,Gullane Pictures,3.8/10,19%,9/100,1
3149,Isle of Man Film Commission,3.8/10,19%,9/100,1
3150,Darclight Films,5.2/10,47%,N/A/100,1
3151,Behavior Worldwide,3.7/10,10%,4/100,1
3152,Sweetpea Entertainment,3.7/10,10%,4/100,1
3153,MGM-British,5.0/10,12%,24/100,1
3154,Screenland Pictures,4.8/10,10%,9/100,1
3155,Hammerhead Productions,4.8/10,10%,9/100,1
3156,Cometstone Pictures,5.8/10,55%,45/100,1
3157,Davis-Panzer Productions,4.6/10,11%,2/100,1
3158,Hong Kong Stuntmen Association,7.6/10,83%,74/100,1
3159,"Toho Pictures, Inc.",6.0/10,N/A%,4/100,1
3160,Fox Kids,6.0/10,25%,2/100,1
3161,Saban Entertainment,6.0/10,25%,2/100,1
3162,Madman Films,6.9/10,81%,7/100,1
3163,Walrus & Associates,7.3/10,75%,7/100,1
3164,Aqaba Productions,6.7/10,48%,49/100,1
3165,Pacifica Film Distribution,6.3/10,47%,49/100,1
3166,Grandview Pictures,7.3/10,73%,85/100,1
3167,Assassin Films,6.9/10,78%,74/100,1
3168,Three Rivers Productions,7.0/10,81%,78/100,1
3169,BBC,5.4/10,25%,34/100,1
3170,Lobell-Bergman Productions,5.4/10,25%,34/100,1
3171,Marbeni,5.4/10,25%,34/100,1
3172,Mutual Film Corporation,5.4/10,25%,34/100,1
3173,Tele-Munchen,5.4/10,25%,34/100,1
3174,Toho,5.4/10,25%,34/100,1
3175,The Kushner-Locke Company,6.6/10,35%,39/100,1
3176,Sociedad General de Televisión (Sogetel),7.6/10,96%,69/100,1
3177,Filmes do Equador,6.5/10,73%,57/100,1
3178,L.C. Barreto,6.5/10,73%,57/100,1
3179,Varahonar Company,8.2/10,87%,8/100,1
3180,Evenstar Films,7.0/10,81%,76/100,1
3181,Polar Entertainment,6.2/10,53%,57/100,1
3182,Imar Film,7.5/10,86%,74/100,1
3183,Red Mullet Productions,N/A/10,N/A%,N/A/100,1
3184,Mandalay Sports Media,6.5/10,80%,68/100,1
3185,Campbell Grobman Films,6.5/10,80%,68/100,1
3186,Redbus Film Distribution,7.0/10,52%,57/100,1
3187,BeCause Entertainment Group,7.0/10,52%,57/100,1
3188,World of Wonder,7.2/10,86%,69/100,1
