ID,Director Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
173,Joseph Kosinski,7.2/10,63%,58/100,3
174,Luca Guadagnino,7.3/10,90%,85/100,4
175,Darren Aronofsky,7.3/10,76%,50/100,6
176,Niki Caro,7.3/10,75%,35/100,4
177,Lawrence Sher,4.9/10,19%,22/100,1
178,Destin Daniel Cretton,7.5/10,74%,69/100,2
179,Niels Arden Oplev,5.8/10,22%,33/100,2
180,Kathryn Bigelow,7.3/10,83%,81/100,4
181,Jon Gunn,6.0/10,36%,14/100,2
182,John R. Leonetti,5.2/10,22%,34/100,2
183,Trey Edward Shults,6.2/10,88%,78/100,1
184,Chuan Lu,7.2/10,83%,57/100,1
185,Gabriela Cowperthwaite,7.5/10,91%,74/100,2
186,John Lee Hancock,7.1/10,78%,61/100,5
187,Jonathan Dayton,7.3/10,85%,49/100,3
188, Valerie Faris,7.3/10,85%,49/100,3
189,Ry Russo-Young,6.4/10,63%,58/100,1
190,Dan Gilroy,7.2/10,73%,67/100,2
191,Denise Di Novi,5.0/10,25%,45/100,1
192,Sofia Coppola,6.6/10,72%,73/100,6
193,Greg McLean,5.6/10,36%,42/100,3
194,Reginald Hudlin,5.8/10,8%,32/100,3
195,Jason Hall,6.5/10,77%,68/100,1
196,Ash Brannon,6.3/10,79%,56/100,2
197,James Gray,6.8/10,78%,72/100,4
198,Sophon Sakdaphisit,6.4/10,50%,N/A/100,1
199,Gore Verbinski,6.9/10,58%,43/100,9
200,Peter Chelsom,6.1/10,40%,42/100,5
201,Kevin Sorbo,4.9/10,100%,N/A/100,1
202,Stephen Gaghan,6.2/10,43%,54/100,3
203,Raoul Peck,7.8/10,98%,95/100,1
204,Miguel Arteta,6.3/10,72%,40/100,5
205,George Nolfi,6.2/10,48%,20/100,2
206,Dorota Kobiela,7.9/10,84%,62/100,1
207, Hugh Welchman,7.9/10,84%,62/100,1
208,Tomas Alfredson,6.6/10,63%,63/100,3
209,Michael Carney,6.3/10,33%,49/100,1
210,Ricardo de Montreuil,5.9/10,38%,30/100,2
211,Aisling Walsh,7.7/10,89%,65/100,1
212,Ron Shelton,5.3/10,31%,35/100,3
213,Sean Baker,7.7/10,96%,92/100,1
214,Steve Gomer,5.8/10,94%,63/100,1
215,George Clooney,6.5/10,67%,49/100,6
216,Bharat Nalluri,7.0/10,78%,34/100,2
217,Eleanor Coppola,5.7/10,45%,48/100,1
218,Ali Abbas Zafar,6.7/10,78%,N/A/100,2
219,Colin Trevorrow,6.8/10,60%,45/100,3
220,David Gordon Green,6.2/10,44%,47/100,5
221,Brett Haley,6.6/10,79%,40/100,2
222,J.D. Dillard,5.9/10,74%,62/100,1
223,Amma Asante,7.1/10,84%,64/100,2
224,Simon Verhoeven,5.3/10,14%,3/100,1
225,Jeffrey Blitz,5.8/10,26%,4/100,1
226,Lone Scherfig,7.0/10,78%,72/100,4
227,Justin Barber,5.2/10,44%,33/100,1
228,Bonni Cohen,6.0/10,80%,68/100,1
229, Jon Shenk,6.0/10,80%,68/100,1
230,Changwei Gu,6.4/10,N/A%,N/A/100,1
231,Rahul Dholakia,7.0/10,70%,N/A/100,1
232,Nacho Vigalondo,6.2/10,80%,7/100,1
233,Matt Spicer,6.7/10,85%,7/100,1
234,Ceyda Torun,7.7/10,N/A%,78/100,1
235,Jing Wu,6.3/10,70%,44/100,1
236,Roger Michell,6.4/10,72%,67/100,7
237,Paolo Virzì,6.5/10,N/A%,46/100,1
238,Kevan Otto,4.8/10,40%,N/A/100,1
