ID,Director Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
1063,Ron Fricke,8.5/10,77%,65/100,1
1064,Arbaaz Khan,4.9/10,40%,N/A/100,1
1065,Lauren Greenfield,7.0/10,94%,8/100,1
1066, Seth Barrish,6.8/10,84%,7/100,1
1067,Jacques Audiard,7.4/10,88%,77/100,3
1068,Joseph Cedar,7.0/10,90%,82/100,1
1069,William Friedkin,6.3/10,51%,43/100,4
1070,Karan Malhotra,7.0/10,100%,N/A/100,1
1071,Steve Rash,5.5/10,29%,22/100,2
1072,Tanya Wexler,6.7/10,57%,53/100,1
1073,Sajid Khan,5.6/10,N/A%,N/A/100,3
1074,Benoît Jacquot,6.3/10,92%,67/100,1
1075,Yaron Zilberman,7.0/10,77%,67/100,1
1076,Jeff Orlowski,7.8/10,96%,75/100,1
1077,Christian Fry,7.2/10,N/A%,N/A/100,1
1078, Jean-Jacques Mantello,7.2/10,N/A%,N/A/100,1
1079,Lorraine Lévy,7.4/10,80%,63/100,1
1080,Jamie Travis,6.0/10,56%,55/100,1
1081,Homi Adajania,6.2/10,N/A%,N/A/100,1
1082,Neema Barnette,5.0/10,20%,29/100,1
1083,Matthew Diamond,6.3/10,27%,32/100,1
1084,Agnieszka Holland,7.3/10,88%,74/100,1
1085,Lisa Immordino Vreeland,7.5/10,94%,69/100,1
1086, Bent-Jorgen Perlmu,7.5/10,94%,69/100,1
1087, Frédéric Tcheng,7.5/10,94%,69/100,1
1088,Bess Kargman,7.6/10,93%,72/100,1
1089,Christian Petzold,7.2/10,93%,86/100,1
1090,Whit Stillman,5.7/10,75%,67/100,1
1091,Brent McCorkle,7.3/10,70%,N/A/100,1
1092,John Lasseter,6.7/10,56%,65/100,2
1093, Brad Lewis,6.2/10,39%,57/100,1
1094,Joe Johnston,6.3/10,53%,51/100,4
1095,Jennifer Yuh Nelson,7.2/10,84%,66/100,2
1096,Chris Miller,6.3/10,62%,62/100,2
1097,Tim Hill,5.4/10,27%,16/100,3
1098,Tomislav Mrsic,7.2/10,N/A%,N/A/100,1
1099,Michel Gondry,7.0/10,73%,54/100,5
1100, Gary Eck,5.9/10,46%,5/100,1
1101, David Peers,5.9/10,46%,5/100,1
1102,Craig Brewer,6.5/10,68%,55/100,2
1103,Sarah Smith,7.0/10,92%,69/100,1
1104, Barry Cook,7.0/10,92%,69/100,1
1105,Michel Hazanavicius,7.9/10,95%,89/100,1
1106,Wes Craven,5.9/10,54%,35/100,6
1107,John Whitesell,4.9/10,14%,30/100,5
1108,Christian E. Christiansen,4.9/10,4%,23/100,1
1109,Tom Hanks,6.0/10,36%,4/100,1
1110,Todd Strauss-Schulson,6.3/10,68%,6/100,1
1111,Jason Winer,5.7/10,25%,36/100,1
1112,Stephen Daldry,7.5/10,68%,46/100,4
1113,Phyllida Lloyd,6.4/10,52%,30/100,2
1114,John Singleton,6.0/10,45%,34/100,5
1115,Stephen J. Anderson,7.1/10,79%,40/100,2
1116,Gary McKendry,6.5/10,25%,44/100,1
1117,Dominic Sena,5.8/10,14%,30/100,3
1118,Jesse Peretz,6.0/10,44%,19/100,2
1119,Troy Nixey,5.6/10,58%,56/100,1
1120,Alister Grierson,5.9/10,30%,42/100,1
1121,Thomas Bezucha,6.0/10,46%,50/100,2
1122,Chris Gorak,4.9/10,12%,8/100,1
1123,Simon Wells,5.7/10,33%,46/100,2
1124,Jim Sheridan,6.5/10,44%,54/100,4
1125,Marcus Nispel,5.7/10,29%,36/100,3
1126,David R. Ellis,5.5/10,44%,25/100,5
1127,Gonzalo López-Gallego,5.2/10,24%,24/100,1
1128,Matthijs van Heijningen Jr.,6.2/10,35%,49/100,1
1129,Keith Scholey,7.5/10,80%,37/100,2
1130,John Schultz,4.5/10,30%,32/100,4
1131,Mark Mylod,6.0/10,24%,35/100,1
1132,Terrence Malick,6.8/10,73%,77/100,2
1133,Bruce Robinson,6.2/10,50%,56/100,1
1134,Kevin Tancharoen,5.2/10,42%,44/100,2
1135, Jennifer Arnold,5.4/10,60%,48/100,1
1136,Cary Joji Fukunaga,7.5/10,86%,76/100,2
1137,Patrick Lussier,5.2/10,46%,35/100,2
1138,Rod Lurie,6.6/10,57%,50/100,4
1139,Mike Disa,4.8/10,11%,2/100,1
1140,Joe Nussbaum,5.7/10,29%,28/100,3
1141,Douglas McGrath,6.4/10,56%,38/100,3
1142,Oliver Parker,6.6/10,48%,26/100,2
1143,Gilles Paquet-Brenner,7.5/10,72%,59/100,1
1144,Matthew Dyas,7.6/10,100%,N/A/100,1
1145,David Cronenberg,7.1/10,84%,62/100,4
1146,Werner Herzog,7.3/10,91%,80/100,4
1147,Paul Johansson,5.7/10,10%,28/100,1
1148,Emilio Estevez,7.2/10,64%,59/100,2
1149,Matt Russell,6.0/10,15%,37/100,1
1150,Cindy Meehl,7.6/10,89%,76/100,1
1151,Xavier Beauvois,7.2/10,92%,86/100,1
1152,Farhan Akhtar,7.1/10,75%,49/100,2
1153,Wim Wenders,8.1/10,95%,83/100,2
1154,Drake Doremus,6.7/10,72%,68/100,1
1155,Angel Gracia,5.5/10,21%,39/100,1
1156,Lars von Trier,7.7/10,72%,7/100,3
1157,Sean Durkin,6.9/10,90%,75/100,1
1158,Dan Rush,6.4/10,75%,65/100,1
1159,Peter Weir,7.3/10,80%,37/100,2
1160,Roman Polanski,7.3/10,73%,55/100,5
1161,Tom Brady,4.3/10,10%,21/100,3
1162,Anubhav Sinha,4.8/10,67%,6/100,1
1163,David G. Evans,6.5/10,35%,43/100,1
1164,Carl Roddam,N/A/10,N/A%,N/A/100,1
1165, Deon Eben van Der Merwe,N/A/10,N/A%,N/A/100,1
1166,Tim Chambers,6.5/10,46%,49/100,1
1167,Siddique,4.6/10,N/A%,4/100,1
1168,Chris Weitz,6.1/10,54%,44/100,5
1169,Lynne Ramsay,7.5/10,76%,68/100,1
1170,François Ozon,6.8/10,85%,56/100,4
1171,Tom Shadyac,6.4/10,29%,36/100,4
1172,Abhinay Deo,7.6/10,93%,66/100,1
1173, Akshat Verma,7.6/10,93%,66/100,1
1174,Giuseppe Capotondi,6.7/10,82%,72/100,1
1175,Richard Press,7.9/10,99%,76/100,1
1176,Gavin Wiesen,6.6/10,18%,36/100,1
1177,Beto Gómez,6.0/10,N/A%,56/100,1
1178,Abbas Kiarostami,7.3/10,89%,82/100,1
1179,Lee Tamahori,6.0/10,38%,46/100,5
1180,Wayne Wang,5.9/10,41%,47/100,5
1181,Alejandro Springall,5.8/10,N/A%,N/A/100,1
1182,Mike Cahill,7.0/10,64%,66/100,1
1183,Michael Rapaport,7.7/10,90%,76/100,1
1184,Jonathan Hensleigh,6.8/10,45%,19/100,2
1185,Kevin Munroe,5.7/10,21%,4/100,2
1186,Larysa Kondracki,7.2/10,74%,59/100,1
1187,Dennis Cooper,4.8/10,N/A%,N/A/100,1
1188,Rohit Dhawan,5.9/10,N/A%,N/A/100,1
1189,Roland Joffé,5.2/10,11%,28/100,2
1190,Joe Cornish,6.6/10,90%,75/100,1
1191,David Slade,6.2/10,56%,56/100,3
1192,Nathan Greno,7.8/10,89%,7/100,1
1193, Byron Howard,7.8/10,89%,7/100,1
1194,John G. Avildsen,7.2/10,88%,59/100,1
1195,Sylvester Stallone,6.9/10,52%,51/100,3
1196,Eric Brevig,5.2/10,37%,46/100,2
1197,Michael Patrick King,5.0/10,32%,40/100,2
1198,Albert Hughes,6.8/10,52%,54/100,2
1199, Allen Hughes,6.7/10,47%,52/100,3
1200,Mike Newell,6.8/10,46%,25/100,4
1201,Tod Williams,6.2/10,62%,60/100,2
1202,Tony Scott,6.9/10,62%,55/100,5
1203,Ryan Murphy,6.0/10,34%,28/100,2
1204,Florian Henckel von Donnersmarck,7.2/10,56%,63/100,2
1205,Andy Tennant,6.0/10,32%,38/100,4
1206,Samuel Bayer,5.2/10,15%,35/100,1
1207,Michael Lembeck,5.4/10,33%,40/100,4
1208,Gary Winick,6.1/10,54%,32/100,5
1209,Kevin Greutert,5.8/10,24%,14/100,2
1210,David Mallet,7.4/10,N/A%,N/A/100,2
1211,Neil LaBute,5.6/10,58%,42/100,5
1212,Daniel Stamm,5.6/10,72%,63/100,1
1213,Steve Antin,6.4/10,36%,47/100,1
1214,Alan Poul,5.3/10,18%,34/100,1
1215,Jason Friedberg,2.4/10,3%,7/100,5
1216, Aaron Seltzer,2.3/10,2%,7/100,4
1217,Tom Dey,5.5/10,34%,40/100,4
1218,Mark Steven Johnson,5.4/10,29%,34/100,3
1219,Jim Field Smith,6.4/10,58%,46/100,1
1220,James L. Brooks,5.9/10,42%,47/100,2
1221,Ethan Maniquis,6.6/10,72%,6/100,1
1222, Robert Rodriguez,7.3/10,74%,40/100,2
1223,Elizabeth Allen Rosenbaum,5.9/10,60%,30/100,2
1224,Anand Tucker,6.6/10,51%,48/100,3
1225,Anthony Bell,5.3/10,16%,36/100,1
1226, Ben Gluck,5.3/10,16%,36/100,1
1227,Alexandre Aja,6.2/10,44%,46/100,4
1228,Erik White,4.9/10,34%,5/100,1
1229,Brian Levant,4.7/10,18%,28/100,4
1230,Sylvain White,5.8/10,37%,44/100,2
1231,Sanaa Hamri,6.3/10,57%,44/100,3
1232,Colin Strause,4.4/10,16%,26/100,1
1233, Greg Strause,4.4/10,16%,26/100,1
1234,Lisa Cholodenko,6.7/10,80%,46/100,2
1235,Jacques Perrin,7.9/10,88%,78/100,2
1236, Jacques Cluzau,7.9/10,88%,78/100,2
1237,Allen Coulter,6.8/10,48%,33/100,2
1238,Nanette Burstein,6.8/10,53%,40/100,2
1239,Roger Kumble,4.8/10,27%,34/100,4
1240,Vincenzo Natali,6.5/10,80%,66/100,2
1241,Miguel Sapochnik,6.3/10,22%,32/100,1
1242,Christian Alvart,6.5/10,25%,26/100,2
1243,Tom Vaughan,6.2/10,28%,40/100,2
1244,Aaron Schneider,7.0/10,85%,77/100,1
1245,Jorma Taccone,6.1/10,62%,56/100,2
1246,Daniel Alfredson,7.2/10,61%,36/100,2
1247,Thomas Balmès,7.0/10,68%,63/100,1
1248,Tony Goldwyn,6.7/10,53%,40/100,3
1249,Debra Granik,7.2/10,94%,9/100,1
1250,Juan José Campanella,8.2/10,91%,8/100,1
1251,Anna Boden,7.1/10,81%,76/100,3
1252, Ryan Fleck,7.1/10,81%,76/100,3
1253,Ronan Chapalain,6.9/10,N/A%,N/A/100,1
1254, Pascal Vuong,6.9/10,N/A%,N/A/100,1
1255,Sngmoo Lee,6.3/10,28%,45/100,1
1256,Bruce Beresford,7.2/10,60%,55/100,2
1257,Brian Koppelman,6.2/10,50%,36/100,2
1258, David Levien,6.2/10,50%,36/100,2
1259,Charles Ferguson,8.3/10,97%,88/100,2
1260,Floria Sigismondi,6.6/10,69%,65/100,1
1261,Banksy,8.0/10,96%,85/100,1
1262,Ricki Stern,7.4/10,92%,79/100,1
1263, Anne Sundberg,7.4/10,92%,79/100,1
1264,David Nixon,6.3/10,25%,3/100,1
1265, Patrick Dough,6.3/10,25%,3/100,1
1266,Mark Romanek,7.0/10,71%,66/100,2
1267,Sylvain Chomet,7.5/10,88%,52/100,3
1268,John Cameron Mitchell,7.1/10,82%,75/100,3
1269,Daniel Barber,7.2/10,64%,55/100,1
1270,Christian Duguay,5.7/10,12%,5/100,3
1271,Ruba Nadda,6.7/10,81%,67/100,1
1272,Prakash Jha,7.0/10,14%,N/A/100,1
1273,Derrick Borte,6.5/10,63%,55/100,1
1274,Tim Hetherington,7.5/10,96%,85/100,1
1275, Sebastian Junger,7.5/10,96%,85/100,1
1276,Abhinav Kashyap,6.3/10,N/A%,N/A/100,1
1277,Jean-Pierre Jeunet,7.5/10,76%,69/100,2
1278,Nigel Cole,6.9/10,64%,45/100,4
1279,Farah Khan,5.4/10,44%,N/A/100,3
1280,Peter Bratt,7.0/10,50%,47/100,1
1281,Rodrigo Cortés,7.0/10,86%,65/100,1
1282,George Hickenlooper,6.4/10,36%,36/100,3
1283,William Dear,7.0/10,57%,42/100,1
1284,James Cameron,7.8/10,83%,83/100,1
1285, Bob Peterson,8.3/10,98%,88/100,1
1286,Betty Thomas,5.4/10,34%,22/100,4
1287, Mike Thurm,6.8/10,42%,27/100,2
1288,Busby Berkeley,6.2/10,N/A%,N/A/100,1
1289,Stephen Sommers,6.0/10,41%,38/100,3
1290, Eli Roth,8.0/10,86%,73/100,2
1291,Hoyt Yeatman,5.0/10,22%,4/100,1
1292,Peter Billingsley,5.5/10,11%,23/100,1
1293,Oren Peli,6.3/10,83%,68/100,1
1294,Andrew L. Stone,6.2/10,N/A%,N/A/100,1
1295,Henry Selick,6.2/10,54%,6/100,2
1296,Steve Shill,4.9/10,19%,25/100,1
1297,Shirley MacLaine,6.2/10,20%,N/A/100,1
1298,Peter Cornwell,5.9/10,16%,33/100,1
1299,Brad Silberling,6.1/10,44%,46/100,2
1300,Patrick Tatopoulos,6.6/10,29%,44/100,1
1301,P.J. Hogan,5.9/10,25%,38/100,1
1302,Harold Ramis,5.8/10,30%,46/100,4
1303,David S. Goyer,5.7/10,18%,26/100,3
1304,Jorge Blanco,6.0/10,21%,39/100,1
1305, Javier Aba,6.0/10,21%,39/100,1
1306, Marcos Martínez,6.0/10,21%,39/100,1
1307,Jonathan Mostow,6.4/10,59%,58/100,3
1308,Howard Hall,7.6/10,94%,77/100,1
1309,Phil Traill,4.8/10,7%,7/100,1
1310,Dennis Iliadis,6.6/10,41%,42/100,1
1311,Grant Heslov,6.2/10,52%,54/100,1
1312,Charles de Lauzirika,7.8/10,N/A%,N/A/100,1
1313,Tzu Nyen Ho,6.9/10,N/A%,N/A/100,1
1314,Shane Acker,7.0/10,57%,6/100,1
1315,Marc Lawrence,5.8/10,39%,43/100,3
1316,Nelson McCormick,4.8/10,10%,20/100,2
1317,Charles Guard,6.4/10,31%,43/100,1
1318, Thomas Guard,6.4/10,31%,43/100,1
1319,Damien Dante Wayans,3.5/10,18%,4/100,1
1320,Olatunde Osunsanmi,5.9/10,19%,34/100,1
1321,Jody Hill,5.8/10,50%,54/100,1
1322,Dito Montiel,5.6/10,39%,6/100,1
1323,Brandon Camp,5.6/10,16%,33/100,1
1324,Bruce Hendricks,2.0/10,24%,45/100,1
1325,Ricky Gervais,6.4/10,57%,58/100,1
1326, Matthew Robinson,6.4/10,57%,58/100,1
1327,Iain Softley,6.6/10,39%,48/100,3
1328,Jonas Elmer,5.6/10,29%,29/100,1
1329,Karyn Kusama,5.9/10,65%,27/100,2
1330,Karey Kirkpatrick,6.2/10,58%,60/100,2
1331,Neal Brennan,5.8/10,27%,39/100,1
1332,Richard Kelly,5.6/10,45%,47/100,1
1333,Drew Barrymore,6.9/10,84%,68/100,1
1334,Christine Jeffs,6.6/10,55%,31/100,2
1335,Mike Judge,6.2/10,62%,6/100,1
1336,Bill Duke,6.0/10,32%,43/100,1
1337,Troy Duffy,6.3/10,23%,24/100,1
1338,James Wong,5.2/10,26%,28/100,4
1339,Andrzej Bartkowiak,5.2/10,23%,34/100,5
1340,Donald Petrie,5.8/10,24%,37/100,5
1341,Terry Gilliam,6.3/10,51%,35/100,2
1342,Rajkumar Hirani,8.3/10,100%,67/100,3
1343,Vicky Jenson,6.4/10,44%,56/100,3
1344,Anne Fontaine,6.7/10,63%,65/100,1
1345,Zach Cregger,5.0/10,5%,7/100,1
1346, Trevor Moore,5.0/10,5%,7/100,1
1347,Jane Campion,6.2/10,58%,27/100,2
1348,Robert Kenner,7.8/10,95%,8/100,1
1349,Jeff Stilson,6.9/10,95%,72/100,1
1350,Stephan Elliott,5.8/10,30%,44/100,2
1351,Max Mayer,7.2/10,65%,56/100,1
1352,Carlos Cuarón,6.7/10,73%,67/100,1
1353,Matt Tyrnauer,7.2/10,77%,68/100,1
1354,Adam Del Deo,7.5/10,92%,76/100,1
1355, James D. Stern,7.5/10,92%,76/100,1
1356,Aristomenis Tsirbas,6.6/10,48%,54/100,1
1357,Fatih Akin,6.3/10,37%,49/100,1
1358, Yvan Attal,6.3/10,37%,49/100,1
1359, Randall Balsmeyer,6.3/10,37%,49/100,1
1360, Shunji Iwai,6.3/10,37%,49/100,1
1361, Wen Jiang,6.3/10,37%,49/100,1
1362, Shekhar Kapur,6.3/10,37%,49/100,1
1363, Joshua Marston,6.3/10,37%,49/100,1
1364, Mira Nair,6.3/10,37%,49/100,1
1365, Natalie Portman,6.3/10,37%,49/100,1
1366,Yôjirô Takita,8.0/10,79%,68/100,1
1367,Bob Gosse,5.3/10,20%,26/100,1
1368,Steven Lawrence,6.4/10,40%,43/100,1
1369,Rich Christiano,6.2/10,22%,26/100,2
1370,Nicholas Jasenovec,6.0/10,59%,54/100,1
1371,Aviva Kempner,7.3/10,93%,69/100,1
1372,Cédric Klapisch,7.1/10,72%,66/100,2
1373, John Stevenson,7.6/10,87%,73/100,1
1374, Loveleen Tandan,8.0/10,91%,86/100,1
1375,Kenny Ortega,4.6/10,64%,57/100,1
1376,Michael McCullers,6.0/10,64%,55/100,1
1377,David Hackl,5.8/10,13%,2/100,1
1378,Bryan Bertino,6.2/10,45%,47/100,1
1379,Sam Fell,6.5/10,72%,66/100,3
1380, Robert Stevenhagen,6.0/10,56%,53/100,1
1381,Fred Wolf,5.4/10,22%,28/100,2
1382,Jennifer Flackett,6.0/10,51%,55/100,1
1383, Mark Levin,6.0/10,51%,55/100,1
1384,Paul Weiland,5.9/10,14%,37/100,1
1385,George C. Wolfe,6.0/10,30%,39/100,1
1386,Jon Avnet,6.0/10,12%,22/100,2
1387,Dave Filoni,5.9/10,18%,35/100,1
1388,Kent Alterman,5.8/10,22%,47/100,1
1389,John Patrick Shanley,7.5/10,79%,68/100,1
1390,Steven Brill,5.4/10,18%,21/100,5
1391,Adam Brooks,7.2/10,71%,59/100,1
1392,Marco Schnabel,3.8/10,13%,24/100,1
1393,Peter Sollett,6.8/10,86%,74/100,2
1394,David Moreau,5.4/10,22%,36/100,1
1395, Xavier Palud,5.4/10,22%,36/100,1
1396,Gregory Hoblit,6.8/10,54%,54/100,4
1397,Diane English,4.9/10,13%,27/100,1
1398,Eric Valette,4.0/10,0%,24/100,1
1399,Banjong Pisanthanakun,7.0/10,N/A%,N/A/100,1
1400, Parkpoom Wongpoom,7.0/10,N/A%,N/A/100,1
1401,Craig Mazin,4.5/10,17%,33/100,1
1402,Jeffrey Nachmanoff,7.0/10,64%,6/100,1
1403,Mathieu Kassovitz,5.7/10,10%,32/100,2
1404,Chris Carter,5.9/10,31%,47/100,1
1405,Callie Khouri,5.9/10,33%,26/100,2
1406,Ed Harris,6.9/10,79%,70/100,2
1407,Frank Miller,6.4/10,46%,38/100,2
1408,Howard Deutch,6.0/10,20%,20/100,3
1409,Patricia Rozema,6.6/10,79%,63/100,1
1410,Carter Smith,5.9/10,48%,44/100,1
1411,Danny Pang,5.4/10,10%,29/100,2
1412, Oxide Chun Pang,5.4/10,10%,29/100,2
1413,Joel Hopkins,6.7/10,71%,57/100,1
1414,Saul Dibb,6.9/10,61%,62/100,1
1415,Mike Relon Makiling,5.5/10,N/A%,N/A/100,1
1416,Mickey Liddell,3.9/10,3%,28/100,1
1417,Mike Nawrocki,6.2/10,52%,54/100,2
1418,Fred Durst,5.2/10,41%,52/100,1
1419,Neil Marshall,6.6/10,68%,6/100,2
1420,Catherine Owens,8.4/10,93%,83/100,1
1421, Mark Pellington,8.4/10,93%,83/100,1
1422,Mark Palansky,6.8/10,53%,48/100,1
1423,Mark Herman,7.8/10,63%,55/100,1
1424,Darnell Martin,7.0/10,66%,65/100,1
1425,Lexi Alexander,6.0/10,27%,3/100,1
1426,Nathan Frankowski,3.7/10,11%,2/100,1
1427,Jeff Lowell,5.2/10,15%,3/100,1
1428,Alfredo Rodriguez de Villa,6.0/10,52%,5/100,1
1429,Ian Iqbal Rashid,3.3/10,66%,63/100,1
1430,David Zucker,4.6/10,19%,18/100,5
1431,Julian Jarrold,6.9/10,59%,59/100,3
1432,Peter Cattaneo,6.2/10,41%,53/100,1
1433,Guillaume Canet,7.5/10,94%,82/100,1
1434,Stefan Ruzowitzky,7.6/10,94%,78/100,1
1435,Andrew Fleming,6.0/10,49%,51/100,3
1436,Uwe Boll,2.8/10,3%,7/100,4
1437,Deb Hagan,4.6/10,5%,5/100,1
1438,Marcel Langenegger,6.0/10,13%,3/100,1
1439,Charles Robert Carner,3.2/10,4%,7/100,1
1440,Randall Miller,6.8/10,48%,56/100,1
1441,Stephen Walker,7.9/10,88%,75/100,1
1442, Sally George,7.9/10,88%,75/100,1
1443,Jon Poll,7.0/10,56%,54/100,1
1444,Laurent Cantet,7.5/10,95%,92/100,1
1445,Helen Hunt,6.0/10,50%,56/100,1
1446,Fernando Meirelles,7.5/10,73%,69/100,3
1447,Philippe Claudel,7.6/10,88%,79/100,1
1448,Charlie Kaufman,7.3/10,80%,78/100,2
1449,Eran Kolirin,7.6/10,98%,8/100,1
1450,Clark Gregg,6.5/10,54%,47/100,1
1451,Courtney Hunt,7.2/10,88%,82/100,1
1452,A.R. Murugadoss,7.3/10,50%,N/A/100,1
1453,David Mamet,6.7/10,71%,54/100,4
1454,Ari Folman,8.0/10,96%,9/100,1
1455,Pierre Salvadori,7.0/10,81%,72/100,1
1456,Aditya Chopra,7.1/10,86%,N/A/100,2
1457,Claude Lelouch,7.0/10,88%,7/100,1
1458,Matteo Garrone,7.0/10,92%,87/100,1
1459,Ebrahim Hatamikia,6.3/10,N/A%,N/A/100,1
1460,Gwendal Sartre,N/A/10,N/A%,N/A/100,1
1461,Tarun Mansukhani,6.5/10,91%,N/A/100,1
1462,Stanislava Buevich,4.6/10,55%,N/A/100,1
1463,Scott Scooter Diel,N/A/10,N/A%,N/A/100,1
1464,Arnaud Desplechin,7.0/10,86%,84/100,1
1465,Nadine Labaki,7.2/10,92%,7/100,1
1466,Roger Spottiswoode,6.5/10,36%,49/100,2
1467,Santosh Sivan,6.6/10,49%,47/100,1
1468,Ajay Devgn,6.0/10,N/A%,N/A/100,1
1469,Ram Gopal Varma,6.8/10,33%,N/A/100,1
1470, Raman Hu,6.0/10,41%,58/100,1
1471, Jan Pinkava,8.0/10,96%,96/100,1
1472,David Silverman,7.7/10,92%,43/100,2
1473,Kevin Lima,6.0/10,62%,55/100,2
1474,Simon J. Smith,6.3/10,62%,54/100,2
1475, Steve Hickner,6.0/10,51%,54/100,1
1476,Gabor Csupo,7.2/10,85%,74/100,1
1477,Mike Nichols,6.6/10,64%,46/100,3
1478,Darren Lynn Bousman,6.2/10,27%,29/100,3
1479, Chris Buck,6.7/10,79%,64/100,1
1480,Russell Mulcahy,6.3/10,23%,4/100,1
1481,Mennan Yapo,5.9/10,8%,29/100,1
1482,Frederik Du Chau,5.0/10,24%,40/100,2
1483,Michael Lehmann,5.6/10,21%,40/100,2
1484,Antonia King,6.5/10,N/A%,N/A/100,1
1485,Xavier Gens,6.3/10,N/A%,35/100,1
1486,Neil Jordan,6.7/10,60%,62/100,2
1487,Joel Schumacher,6.6/10,35%,38/100,5
1488,Mark Helfrich,5.6/10,5%,9/100,1
1489,Steve Bendelack,6.4/10,52%,56/100,1
1490,Billy Ray,7.1/10,88%,74/100,2
1491,Robert Ben Garant,5.6/10,28%,42/100,2
1492,Zach Helm,6.2/10,38%,48/100,1
1493,Kirsten Sheridan,7.5/10,37%,38/100,1
1494,Juan Carlos Fresnadillo,7.0/10,71%,78/100,1
1495,Bruce A. Evans,7.3/10,54%,45/100,1
1496,Frank Darabont,7.1/10,57%,42/100,2
1497, Quentin Tarantino,7.8/10,80%,76/100,2
1498, Edgar Wright,7.6/10,83%,77/100,1
1499, Rob Zombie,7.6/10,83%,77/100,1
1500,Julie Taymor,7.4/10,64%,31/100,2
1501,Philip G. Atwell,6.3/10,N/A%,36/100,1
1502,Robert Shaye,6.3/10,54%,59/100,1
1503,Adrienne Shelly,7.0/10,90%,75/100,1
1504,Sean Penn,7.4/10,80%,40/100,2
1505,Dave Meyers,5.6/10,21%,28/100,1
1506,Shekhar Kapur,6.6/10,38%,48/100,3
1507,Paul Bolger,4.5/10,4%,28/100,1
1508, Yvette Kaplan,4.5/10,4%,28/100,1
1509, Greg Tiernan,4.5/10,4%,28/100,1
1510, Dino Athanassiou,4.5/10,4%,28/100,1
1511,Susannah Grant,6.0/10,21%,43/100,1
1512,Oliver Hirschbiegel,7.0/10,55%,64/100,2
1513, James McTeigue,5.9/10,19%,45/100,1
1514,Joby Harold,6.5/10,23%,33/100,1
1515,Todd Holland,5.5/10,38%,43/100,1
1516,Fred Savage,3.0/10,1%,3/100,1
1517,Michael Davis,6.7/10,67%,49/100,1
1518,Lajos Koltai,6.5/10,27%,45/100,1
1519,Jon Kasdan,6.5/10,43%,47/100,1
1520,Hyung-rae Shim,3.6/10,28%,33/100,1
1521,Michael Katleman,4.7/10,19%,35/100,1
1522,Olivier Dahan,7.6/10,50%,66/100,1
1523,David L. Cunningham,4.8/10,N/A%,38/100,1
1524,Frank Oz,6.5/10,50%,39/100,3
1525,Les Mayfield,5.3/10,10%,30/100,3
1526,C.B. Harding,3.5/10,4%,7/100,1
1527,Leon Ichaso,5.5/10,25%,46/100,1
1528,Menno Meyjes,6.8/10,33%,48/100,1
1529,Chris Sivertson,3.6/10,7%,6/100,1
1530,Scott Wiper,6.0/10,15%,23/100,1
1531,Sidney Lumet,7.2/10,74%,74/100,2
1532,Andy Cheng,4.0/10,0%,24/100,1
1533,Tamara Jenkins,7.2/10,89%,85/100,1
1534,Julian Schnabel,7.7/10,84%,88/100,2
1535,Doug Lefler,5.4/10,16%,37/100,1
1536,Alejandro Chomski,2.8/10,12%,36/100,1
1537,Lance Rivera,4.0/10,10%,18/100,2
1538,Curtis Hanson,6.8/10,58%,50/100,5
1539,Don Michael Paul,3.3/10,4%,16/100,2
1540,Matt Maiellaro,6.9/10,48%,54/100,1
1541, Dave Willis,6.9/10,48%,54/100,1
1542, Frédéric Auburtin,7.3/10,87%,66/100,1
1543, Emmanuel Benbihy,7.3/10,87%,66/100,1
1544, Gurinder Chadha,7.3/10,87%,66/100,1
1545, Sylvain Chomet,7.3/10,87%,66/100,1
1546, Ethan Coen,7.2/10,80%,54/100,4
1547, Isabel Coixet,7.3/10,87%,66/100,1
1548, Wes Craven,7.3/10,87%,66/100,1
1549, Alfonso Cuarón,7.3/10,87%,66/100,1
1550, Gérard Depardieu,7.3/10,87%,66/100,1
1551, Christopher Doyle,7.3/10,87%,66/100,1
1552, Richard LaGravenese,7.3/10,87%,66/100,1
1553, Vincenzo Natali,7.3/10,87%,66/100,1
1554, Alexander Payne,7.3/10,87%,66/100,1
1555, Bruno Podalydès,7.3/10,87%,66/100,1
1556, Walter Salles,7.3/10,87%,66/100,1
1557, Oliver Schmitz,7.3/10,87%,66/100,1
1558, Nobuhiro Suwa,7.3/10,87%,66/100,1
1559, Daniela Thomas,7.3/10,87%,66/100,1
1560, Tom Tykwer,7.3/10,87%,66/100,1
1561, Gus Van Sant,7.3/10,87%,66/100,1
1562,Harvey Glazer,4.6/10,N/A%,8/100,1
1563,Vincent Paronnaud,8.0/10,96%,9/100,1
1564, Marjane Satrapi,8.0/10,96%,9/100,1
1565,Julie Delpy,6.8/10,86%,67/100,1
1566,Franck Khalfoun,5.9/10,35%,37/100,1
1567,Alain Desrochers,5.5/10,N/A%,N/A/100,1
1568,Robin Swicord,6.8/10,66%,6/100,1
1569,Katja von Garnier,5.5/10,11%,33/100,1
1570,Robert Benton,6.5/10,41%,31/100,2
1571,Michael O. Sajbel,6.8/10,26%,44/100,2
1572,Franc. Reyes,5.8/10,18%,21/100,2
1573,John Dahl,6.6/10,63%,62/100,3
1574,Mani Ratnam,7.8/10,91%,7/100,1
1575,Danièle Thompson,6.8/10,75%,64/100,1
1576,Francis Veber,6.6/10,70%,68/100,1
